SiO2 Al2O3 Na2O CaO MgO B2O3 Li2O GeO2 P2O5 K2O "Young's Modulus at RT ( GPa )" "Density at RT ( g/cm3 )"
83.3 0.0 16.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 58.4 2.347
76.9 0.0 23.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 56.5 2.392
71.4 0.0 28.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.7 2.463
17.93 17.98 0.0 42.63 0.0 5.3 0.0 0.0 14.19 0.0 81.34 2.811
56.34 5.7 2.77 32.52 0.46 0.0 0.0 0.0 0.0 1.98 53.13 2.74
48.6 4.93 2.39 41.79 0.39 0.0 0.0 0.0 0.0 1.71 58.65 2.8
46.99 4.76 2.31 22.12 21.97 0.0 0.0 0.0 0.0 1.65 60.72 2.79
32.79 0.0 20.78 0.0 0.0 46.43 0.0 0.0 0.0 0.0 67.65 2.4
61.0 9.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.8 2.489
61.0 9.0 9.0 0.0 0.0 0.0 21.0 0.0 0.0 0.0 84.1 2.43
61.0 9.0 4.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 86.0 2.414
61.0 9.0 3.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0 86.2 2.408
69.7 10.0 0.0 0.0 20.3 0.0 0.0 0.0 0.0 0.0 93.0 2.51
69.7 12.0 0.0 0.0 18.3 0.0 0.0 0.0 0.0 0.0 91.0 2.492
69.7 16.8 0.0 0.0 13.5 0.0 0.0 0.0 0.0 0.0 92.0 2.495
73.3 5.13 0.0 0.0 0.0 4.72 11.61 0.0 0.0 5.23 70.38 2.36
66.94 2.34 0.0 0.0 0.0 0.0 29.52 0.0 1.19 0.0 73.83 2.35
67.99 5.72 0.0 0.0 0.0 0.0 26.29 0.0 0.0 0.0 85.56 2.37
4.0 32.0 0.0 64.0 0.0 0.0 0.0 0.0 0.0 0.0 100.1 2.96
7.0 30.0 0.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 100.7 2.96
4.0 30.0 0.0 66.0 0.0 0.0 0.0 0.0 0.0 0.0 100.1 2.95
4.0 30.0 0.0 54.0 12.0 0.0 0.0 0.0 0.0 0.0 103.2 2.87
4.0 30.0 0.0 57.0 9.0 0.0 0.0 0.0 0.0 0.0 115.9 2.86
4.0 30.0 0.0 60.0 6.0 0.0 0.0 0.0 0.0 0.0 110.4 2.9
4.0 30.0 0.0 63.0 3.0 0.0 0.0 0.0 0.0 0.0 102.8 2.93
4.0 30.0 6.0 60.0 0.0 0.0 0.0 0.0 0.0 0.0 107.0 2.95
4.0 30.0 12.0 54.0 0.0 0.0 0.0 0.0 0.0 0.0 104.9 2.88
4.0 30.0 16.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 96.6 2.75
4.0 30.0 19.0 47.0 0.0 0.0 0.0 0.0 0.0 0.0 89.7 2.58
4.0 25.0 0.0 66.0 0.0 5.0 0.0 0.0 0.0 0.0 91.08 2.88
4.0 20.0 0.0 66.0 0.0 10.0 0.0 0.0 0.0 0.0 86.25 2.79
4.0 15.0 0.0 66.0 0.0 15.0 0.0 0.0 0.0 0.0 79.35 2.61
7.0 30.0 0.0 50.0 0.0 0.0 13.0 0.0 0.0 0.0 100.1 2.7
7.0 30.0 0.0 48.0 0.0 0.0 15.0 0.0 0.0 0.0 95.22 2.6
7.0 30.0 0.0 47.0 0.0 0.0 16.0 0.0 0.0 0.0 97.29 2.55
7.0 30.0 0.0 41.0 0.0 0.0 22.0 0.0 0.0 0.0 100.7 2.52
10.0 30.0 0.0 41.0 0.0 0.0 19.0 0.0 0.0 0.0 96.6 2.45
10.0 30.0 0.0 38.0 0.0 0.0 22.0 0.0 0.0 0.0 100.1 2.42
24.5 36.1 0.0 39.4 0.0 0.0 0.0 0.0 0.0 0.0 108.6 2.827
35.0 27.5 0.0 37.5 0.0 0.0 0.0 0.0 0.0 0.0 103.5 2.805
44.5 19.7 0.0 35.8 0.0 0.0 0.0 0.0 0.0 0.0 98.8 2.76
53.25 12.51 0.0 34.23 0.0 0.0 0.0 0.0 0.0 0.0 93.3 2.763
61.2 6.0 0.0 32.8 0.0 0.0 0.0 0.0 0.0 0.0 90.1 2.728
65.0 2.9 0.0 32.1 0.0 0.0 0.0 0.0 0.0 0.0 87.2 2.661
71.1 16.18 0.47 0.0 0.0 0.36 11.02 0.0 0.0 0.06 81.42 2.386
75.86 0.35 9.59 11.69 0.0 0.0 0.0 0.0 0.0 2.5 70.56 2.49
82.82 1.63 4.19 0.33 0.0 11.02 0.0 0.0 0.0 0.0 58.31 2.24
81.89 1.57 4.95 0.01 0.0 11.56 0.0 0.0 0.0 0.0 61.74 2.3
79.11 2.19 4.63 0.0 0.0 12.83 0.0 0.0 0.0 0.0 66.15 2.28
75.03 3.07 11.11 0.0 0.0 10.79 0.0 0.0 0.0 0.0 71.15 2.37
56.23 13.13 0.0 5.68 15.81 9.15 0.0 0.0 0.0 0.0 88.69 2.52
77.39 1.21 13.0 2.21 0.0 3.56 0.0 0.0 0.0 2.63 72.52 2.43
61.66 4.24 23.06 3.95 1.49 1.54 0.0 0.0 0.0 3.29 79.77 2.52
69.83 0.12 6.94 0.0 0.0 22.45 0.0 0.0 0.0 0.0 56.84 2.27
72.27 0.0 3.0 0.0 0.0 20.24 0.0 0.0 0.0 3.82 58.21 2.24
78.19 3.07 7.07 1.67 0.0 9.0 0.0 0.0 0.0 1.0 71.34 2.33
76.1 1.53 1.79 1.16 0.0 15.94 0.0 0.0 0.0 2.0 62.72 2.34
51.0 29.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 91.8 2.501
57.0 25.0 0.0 0.0 0.0 0.0 18.0 0.0 0.0 0.0 91.1 2.493
58.0 25.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 91.6 2.497
62.0 22.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 88.9 2.471
64.0 21.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 88.4 2.462
65.0 18.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 85.2 2.429
66.0 19.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 86.7 2.429
66.0 18.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 86.4 2.427
66.0 20.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 86.2 2.446
67.0 19.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 87.0 2.427
67.0 20.0 0.0 0.0 0.0 0.0 13.0 0.0 0.0 0.0 88.0 2.457
69.0 19.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 86.8 2.433
70.0 20.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 88.9 2.448
70.0 18.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 86.3 2.429
71.0 17.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 85.8 2.421
71.0 15.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 82.6 2.403
72.0 16.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 84.4 2.404
72.0 14.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0 82.0 2.393
73.0 16.0 0.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 83.8 2.407
66.0 9.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 84.5 2.381
45.0 30.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 90.5 2.452
70.0 5.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 81.8 2.355
57.0 14.0 0.0 0.0 0.0 0.0 29.0 0.0 0.0 0.0 87.6 2.41
70.0 7.0 0.0 0.0 0.0 0.0 23.0 0.0 0.0 0.0 82.4 2.363
70.0 13.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 83.0 2.369
62.0 21.0 0.0 0.0 0.0 0.0 17.0 0.0 0.0 0.0 86.7 2.414
63.0 5.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 84.2 2.376
80.97 2.13 4.3 0.88 0.78 9.35 0.0 0.0 0.0 0.0 68.99 2.3
80.35 2.11 4.96 2.63 2.58 5.39 0.0 0.0 0.0 0.0 73.11 2.38
80.48 2.11 5.26 2.63 2.45 5.75 0.0 0.0 0.0 0.0 73.3 2.37
80.09 2.1 5.24 3.28 3.19 4.49 0.0 0.0 0.0 0.0 73.5 2.38
81.11 2.13 5.31 2.65 2.62 3.66 0.0 0.0 0.0 0.0 73.7 2.41
