Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common
147, GI03-191820R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 2.56, 77.8, 5047.0
148, GI03-191821R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 2.56, 79.8, 5409.6
149, GI02-191825R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 2.466, 73.8, 4615.8
150, GI02-191826R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 2.52, 72.7, 4517.8
151, GI03-191828R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 2.44, 82.6, 5135.2
152, GI10-191850R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 5.0, 118.3, 6575.8
153, GI10-191851R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 4.547, 122.0, 6624.8
154, GI10-191855R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 4.52, 120.2, 6517.0
155, GI10-191856R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 4.55, 118.8, 6585.6
156, GI10-191858R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 4.57, 122.1, 6546.4
157, GI10-191859R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 4.59, 122.5, 3469.2
158, GI10-191860R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 4.51, 124.9, 6889.4
159, GI02-191861, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.879, 71.1, 5037.2
160, GI02-191862R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.9, 70.5, 4831.4
161, GI02-191863, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.68, 69.9, 4586.4
162, GI02-191864R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.704, 71.6, 4655.0
163, GI02-191865R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.62, 71.5, 4655.0
164, GI02-191866R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.65, 68.4, 4596.2
165, GI02-191867R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.63, 67.9, 4449.2
166, GI02-191868R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.68, 69.7, 4488.4
167, GI02-191869R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.64, 70.3, 4694.2
168, GI02-191870R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.55, 66.6, 4449.2
169, GI20-191891R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 2.91, 60.7, 3430.0
170, GI20-191892R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 3.08, 62.8, 3684.8
171, GI20-191893R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 3.82, 54.9, 6458.2
172, GI20-191894R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 3.49, 59.4, 3655.4
173, GI03-191913, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 2.666, 80.4, 5115.6
174, GI03-191929R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 2.74, 78.7, 5017.6
175, GI03-191930R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 2.747, 79.6, 4968.6
176, GI03-191931R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 2.776, 80.5, 5076.4
177, GI03-191932R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 2.763, 80.2, 5086.2
178, GJ03-233858, J. Ceramic Soc. Japan, 1986, v. 094  p. 0550, 3.04, 91.0, 6174.0
179, GJ38-264359, J. American Ceramic Soc., 2005, v. 088  p. 0875, 4.33, 130.0, 8690.0
180, GJ38-264360, J. American Ceramic Soc., 2005, v. 088  p. 0875, 4.21, 134.0, 8900.0
181, GJ38-264361, J. American Ceramic Soc., 2005, v. 088  p. 0875, 4.05, 143.0, 9630.0
182, GJ38-264362, J. American Ceramic Soc., 2005, v. 088  p. 0875, 3.91, 149.0, 9700.0
183, GJ38-264363, J. American Ceramic Soc., 2005, v. 088  p. 0875, 3.78, 156.0, 10220.0
184, GJ38-264364, J. American Ceramic Soc., 2005, v. 088  p. 0875, 4.47, 129.0, 9380.0
185, GJ38-264365, J. American Ceramic Soc., 2005, v. 088  p. 0875, 4.71, 138.0, 9820.0
186, GJ38-264366, J. American Ceramic Soc., 2005, v. 088  p. 0875, 4.95, 145.0, 9950.0
187, GJ38-264367, J. American Ceramic Soc., 2005, v. 088  p. 0875, 5.05, 147.0, 10500.0
188, GJ38-264368, J. American Ceramic Soc., 2005, v. 088  p. 0875, 4.51, 136.0, 9500.0
189, GJ38-264369, J. American Ceramic Soc., 2005, v. 088  p. 0875, 4.31, 135.0, 9530.0
190, GJ38-264370, J. American Ceramic Soc., 2005, v. 088  p. 0875, 4.11, 137.0, 9530.0
191, GJ38-264371, J. American Ceramic Soc., 2005, v. 088  p. 0875, 3.92, 145.0, 10130.0
192, GJ81-283112, J. Non-Crystalline Solids, 2008, v. 354  p. 1080, 5.802, 40.9, 3480.0
193, GJ81-283113, J. Non-Crystalline Solids, 2008, v. 354  p. 1080, 6.373, 45.9, 2580.0
194, GJ81-283116, J. Non-Crystalline Solids, 2008, v. 354  p. 1080, 7.488, 59.53, 4420.0
195, GJ81-283117, J. Non-Crystalline Solids, 2008, v. 354  p. 1080, 7.56, 61.36, 4700.0
196, GJ81-283118, J. Non-Crystalline Solids, 2008, v. 354  p. 1080, 7.888, 66.64, 4140.0
197, GJ81-283119, J. Non-Crystalline Solids, 2008, v. 354  p. 1080, 8.157, 70.72, 5450.0
198, GJ40-303974, J. Non-Crystalline Solids, 2011, v. 357  p. 002984, 4.936, 30.5, 2523.5
199, GJ40-303976, J. Non-Crystalline Solids, 2011, v. 357  p. 002984, 4.827, 29.5, 2254.0
