 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
397 75.0 24.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
398 80.0 1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
400 80.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
402 80.0 11.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
403 80.0 13.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
405 80.0 18.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
409 83.91 1.78 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
410 82.68 3.78 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
411 82.63 4.44 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
412 82.38 5.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
413 83.2 7.23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
414 82.95 9.26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
415 82.59 10.68 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
416 83.56 12.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
417 79.24 19.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
418 78.96 19.13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
419 77.56 18.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
420 73.78 17.88 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
421 70.11 16.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
424 75.0 0.0 0.0 0.0 0.0 0.0 21.25 0.0 0.0 0.0 0.0
425 75.0 0.0 0.0 0.0 0.0 0.0 23.75 0.0 0.0 0.0 0.0
426 75.0 0.0 0.0 0.0 0.0 0.0 24.5 0.0 0.0 0.0 0.0
427 85.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0
429 85.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0
433 70.5 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0
