 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
13917 60.04 7.09 0.0 0.0 0.0 0.0 11.2 5.89 15.77 0.0 0.0
13920 79.58 4.06 1.23 13.55 0.0 0.0 1.33 0.0 0.0 0.0 0.0
13922 30.75 1.44 13.81 0.0 0.0 0.0 0.0 0.66 0.0 0.0 5.15
13927 59.31 7.66 5.82 0.85 5.29 0.0 1.26 0.0 0.0 0.0 7.29
13929 70.97 4.1 1.87 21.03 0.0 0.0 2.02 0.0 0.0 0.0 0.0
13931 71.05 6.08 1.23 21.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13933 72.33 1.03 1.88 16.52 0.0 0.0 6.1 2.13 0.0 0.0 0.0
13934 62.64 0.37 7.53 16.55 0.0 0.0 0.0 0.0 0.0 12.52 0.0
13938 74.78 0.5 0.61 22.4 0.0 0.0 0.66 1.04 0.0 0.0 0.0
13940 84.18 3.98 1.21 10.63 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13941 76.8 12.58 0.0 0.0 0.0 0.0 0.0 2.17 0.0 0.0 0.0
13942 81.59 5.4 3.28 7.98 0.0 0.0 0.26 0.84 0.0 0.0 0.0
13947 7.54 0.0 16.3 26.05 0.0 0.0 0.0 0.0 50.11 0.0 0.0
13963 79.55 4.17 0.63 13.91 0.0 0.0 0.0 0.0 1.73 0.0 0.0
13969 81.28 3.03 1.23 13.49 0.0 0.0 0.66 0.0 0.0 0.0 0.0
13978 97.1 0.0 0.3 2.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13981 99.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13987 63.21 1.76 5.73 16.1 0.0 0.0 0.0 5.9 1.43 3.14 0.0
13991 73.29 9.6 0.0 10.48 0.11 0.0 5.7 0.0 0.0 0.37 0.0
13994 71.91 8.09 1.25 0.0 9.28 0.0 6.34 0.0 0.0 0.0 2.73
13996 69.95 4.53 0.92 0.0 0.0 0.0 5.45 0.0 19.11 0.0 0.0
13997 60.71 2.08 0.0 0.0 0.0 0.0 2.48 0.0 34.63 0.0 0.0
14005 68.73 7.17 3.11 20.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14047 80.79 6.18 3.13 6.42 1.14 0.0 0.68 0.0 0.0 1.66 0.0
14052 56.05 0.0 8.56 8.96 19.46 6.96 0.0 0.0 0.0 0.0 0.0
14422 71.39 13.45 1.17 0.0 9.56 4.43 0.0 0.0 0.0 0.0 0.0
14526 83.38 3.8 1.33 11.23 0.0 0.0 0.26 0.0 0.0 0.0 0.0
14528 60.1 0.5 6.83 0.0 24.43 4.17 0.19 0.0 0.0 0.0 2.06
14570 99.86 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14571 99.94 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14911 66.9 0.0 16.7 0.0 0.0 0.0 0.0 16.4 0.0 0.0 0.0
14912 75.2 0.0 12.5 0.0 0.0 0.0 0.0 12.3 0.0 0.0 0.0
14913 80.2 0.0 10.0 0.0 0.0 0.0 0.0 9.8 0.0 0.0 0.0
14914 83.4 0.0 8.4 0.0 0.0 0.0 0.0 8.2 0.0 0.0 0.0
14915 85.8 0.0 7.2 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0
15368 63.65 13.83 12.93 0.0 3.52 3.27 2.8 0.0 0.0 0.0 0.0
15369 61.84 0.0 9.42 3.68 11.42 11.12 0.0 0.0 0.0 2.5 0.0
15371 59.78 0.0 9.11 5.33 16.56 9.21 0.0 0.0 0.0 0.0 0.0
