SiO2 Na2O B2O3 CaO Al2O3 K2O Li2O MgO PbO BaO TiO2 GeO2 ZnO "Young's Modulus at RT ( GPa )" "Density at RT ( g/cm3 )"
46.51 30.23 23.26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.49 2.526
40.0 0.0 40.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.92 2.345
38.46 0.0 38.46 0.0 0.0 23.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 58.66 2.389
35.71 0.0 35.71 0.0 0.0 28.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0 57.37 2.423
33.33 0.0 33.33 0.0 0.0 33.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 52.4 2.434
58.82 0.0 29.41 0.0 0.0 11.76 0.0 0.0 0.0 0.0 0.0 0.0 0.0 56.09 2.29
57.14 0.0 28.57 0.0 0.0 14.29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 58.99 2.324
56.34 0.0 28.17 0.0 0.0 15.49 0.0 0.0 0.0 0.0 0.0 0.0 0.0 62.15 2.362
54.05 0.0 27.03 0.0 0.0 18.92 0.0 0.0 0.0 0.0 0.0 0.0 0.0 65.44 2.445
52.63 0.0 26.32 0.0 0.0 21.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 65.21 2.46
51.28 0.0 25.64 0.0 0.0 23.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.84 2.473
50.0 0.0 25.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.98 2.483
48.78 0.0 24.39 0.0 0.0 26.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0 61.06 2.477
46.51 0.0 23.26 0.0 0.0 30.23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 51.8 2.465
66.67 11.11 22.22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 68.44 2.328
72.73 9.09 18.18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 68.37 2.315
76.92 7.69 15.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.75 2.31
80.0 6.67 13.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 68.98 2.302
57.14 0.0 28.57 0.0 0.0 14.29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 59.22 2.333
66.67 0.0 22.22 0.0 0.0 11.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.89 2.323
72.73 0.0 18.18 0.0 0.0 9.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.2 2.317
76.92 0.0 15.38 0.0 0.0 7.69 0.0 0.0 0.0 0.0 0.0 0.0 0.0 67.68 2.315
77.7 9.56 0.0 0.0 0.73 4.71 0.0 0.0 7.3 0.0 0.0 0.0 0.0 61.74 2.86
70.33 12.48 0.0 7.43 1.75 0.63 0.0 7.38 0.0 0.0 0.0 0.0 0.0 70.56 2.51
72.0 16.25 0.0 5.28 0.58 0.0 0.0 5.88 0.0 0.0 0.0 0.0 0.0 69.58 2.47
71.77 12.04 2.28 4.57 1.2 3.44 0.0 4.55 0.0 0.0 0.0 0.0 0.0 73.03 2.47
68.81 7.41 0.0 4.09 1.5 6.5 0.0 3.8 7.89 0.0 0.0 0.0 0.0 68.97 2.98
70.18 7.32 8.38 0.0 1.27 4.82 0.0 0.0 0.0 0.0 2.43 0.0 5.58 74.38 2.57
72.11 13.94 0.59 6.06 0.87 0.18 0.0 6.05 0.0 0.0 0.0 0.0 0.0 71.65 2.48
65.6 13.56 0.0 0.0 10.78 2.06 0.0 6.41 0.0 0.0 0.0 0.0 1.59 71.54 2.46
62.2 1.6 3.92 7.41 10.96 0.0 0.0 13.86 0.0 0.0 0.0 0.0 0.0 86.12 2.52
68.63 1.07 4.78 9.49 11.09 4.94 0.0 0.0 0.0 0.0 0.0 0.0 0.0 86.24 2.64
61.04 0.0 3.69 11.47 10.1 0.0 0.0 11.17 0.0 2.52 0.0 0.0 0.0 86.24 2.64
79.58 4.06 13.55 0.0 1.23 1.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 2.27
70.97 4.1 21.03 0.0 1.87 2.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 58.8 2.24
71.05 6.08 21.64 0.0 1.23 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 59.78 2.24
72.33 1.03 16.52 0.0 1.88 6.1 2.13 0.0 0.0 0.0 0.0 0.0 0.0 63.7 2.29
62.64 0.37 16.55 0.0 7.53 0.0 0.0 0.0 0.0 12.52 0.0 0.0 0.0 67.522 2.752
84.18 3.98 10.63 0.0 1.21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 63.7 2.27
81.59 5.4 7.98 0.0 3.28 0.26 0.84 0.0 0.0 0.0 0.07 0.0 0.0 75.79 2.32
79.55 4.17 13.91 0.0 0.63 0.0 0.0 0.0 1.73 0.0 0.0 0.0 0.0 61.74 2.35
83.27 3.98 11.53 0.0 1.21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 62.72 2.23
81.28 3.03 13.49 0.0 1.23 0.66 0.0 0.0 0.0 0.0 0.0 0.0 0.0 61.74 2.24
99.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 73.08 2.202
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.36 2.203
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.38 2.203
94.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.36 0.0 0.0 67.52 2.21
63.21 1.76 16.1 0.0 5.73 0.0 5.9 0.0 1.43 3.14 0.0 0.0 0.0 71.65 2.54
73.29 9.6 10.48 0.11 0.0 5.7 0.0 0.0 0.0 0.37 0.16 0.0 0.0 89.74 2.51
71.91 8.09 0.0 9.28 1.25 6.34 0.0 0.0 0.0 0.0 0.32 0.0 2.73 72.34 2.54
68.73 7.17 20.99 0.0 3.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 56.0 2.24
80.79 6.18 6.42 1.14 3.13 0.68 0.0 0.0 0.0 1.66 0.0 0.0 0.0 72.0 2.39
56.05 0.0 8.96 19.46 8.56 0.0 0.0 6.96 0.0 0.0 0.0 0.0 0.0 74.0 2.6
71.39 13.45 0.0 9.56 1.17 0.0 0.0 4.43 0.0 0.0 0.0 0.0 0.0 70.56 2.5
99.96 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.42 2.203
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.42 2.203
99.58 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 69.97 2.201
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 69.97 2.201
68.69 0.0 0.0 0.0 15.56 0.0 0.0 15.75 0.0 0.0 0.0 0.0 0.0 85.5 2.46
83.38 3.8 11.23 0.0 1.33 0.26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 65.46 2.23
60.1 0.5 0.0 24.43 6.83 0.19 0.0 4.17 0.0 0.0 1.71 0.0 2.06 72.23 2.72
99.96 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.81 2.203
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.96 2.203
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.81 2.203
99.58 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.96 2.203
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 72.62 2.201
66.9 0.0 0.0 0.0 16.7 0.0 16.4 0.0 0.0 0.0 0.0 0.0 0.0 82.7 2.428
75.2 0.0 0.0 0.0 12.5 0.0 12.3 0.0 0.0 0.0 0.0 0.0 0.0 80.2 2.384
80.2 0.0 0.0 0.0 10.0 0.0 9.8 0.0 0.0 0.0 0.0 0.0 0.0 79.1 2.358
85.8 0.0 0.0 0.0 7.2 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 76.2 2.319
7.07 0.0 0.0 57.58 28.28 0.0 0.0 7.07 0.0 0.0 0.0 0.0 0.0 109.4 2.996
90.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 74.2 2.231
85.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 76.4 2.258
