Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density,,,,Common,,
OR,Young's Modulus,,,,Common,,
OR,Vickers Hardness,,,,Common,,
OR,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,350000,500000
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, Thermal Treatment, Bulk Density ( g/cm3 ), Density (Miscell) ( g/cm3 ), Density at RT ( g/cm3 ), Young's Modulus (Miscell) ( GPa ), Young's Modulus at <0C ( GPa ), Young's Modulus at RT ( GPa ), Fracture Toughness ( MPa.m1/2 ), Vickers Hardness (Typical) ( MPa ), Vickers Hardness 50g ( MPa ), Vickers Hardness 100g ( MPa ), Vickers Hardness 200g ( MPa ), Vickers Hardness 500g ( MPa ), Vickers Hardness (Miscell) ( MPa )
17459, GJ60-393889, J. Non-Crystalline Solids, 2019, a. 119697, annealed at 200C., , , 4.59, , , , , 2303.0, , , , , 2303.0
17460, GJ60-393890, J. Non-Crystalline Solids, 2019, a. 119697, annealed at 200C., , , 4.67, , , , , 2293.2, , , , , 2293.2
17461, GJ60-393891, J. Non-Crystalline Solids, 2019, a. 119697, annealed at 200C., , , 5.02, , , , , 2244.2, , , , , 2244.2
17462, GJ28-393893, J. Non-Crystalline Solids, 2019, a. 119699, annealed at 350C., , , 5.28, , , , , , , , , , 
17463, GJ28-393894, J. Non-Crystalline Solids, 2019, a. 119699, annealed at 350C., , , 4.83, , , , , , , , , , 
17464, GJ28-393895, J. Non-Crystalline Solids, 2019, a. 119699, annealed at 350C., , , 5.07, , , , , , , , , , 
17465, GJ28-393896, J. Non-Crystalline Solids, 2019, a. 119699, annealed at 350C., , , 4.69, , , , , , , , , , 
17466, GJ28-393897, J. Non-Crystalline Solids, 2019, a. 119699, annealed at 350C., , , 5.07, , , , , , , , , , 
17467, GJ28-393898, J. Non-Crystalline Solids, 2019, a. 119699, annealed at 350C., , , 4.79, , , , , , , , , , 
17468, GJ28-393899, J. Non-Crystalline Solids, 2019, a. 119699, annealed at 350C., , , 4.63, , , , , , , , , , 
17469, GJ28-393900, J. Non-Crystalline Solids, 2019, a. 119699, annealed at 350C., , , 4.57, , , , , , , , , , 
17470, GJ28-393901, J. Non-Crystalline Solids, 2019, a. 119699, annealed at 350C., , , 4.57, , , , , , , , , , 
17471, XJ03-393902, J. Non-Crystalline Solids, 2019, a. 119701, , , , , , , *, , *, , , , , *
17472, GJ20-393909, J. Non-Crystalline Solids, 2019, a. 119719, annealed at 510C for 3-4h., , , 2.87, , , , , , , , , , 
17473, GJ10-393910, J. Non-Crystalline Solids, 2019, a. 119720, , , , 2.9121, , , , , , , , , , 
17474, GJ10-393911, J. Non-Crystalline Solids, 2019, a. 119720, , , , 2.9201, , , , , , , , , , 
17475, GJ10-393912, J. Non-Crystalline Solids, 2019, a. 119720, , , , 2.9985, , , , , , , , , , 
17476, GJ10-393913, J. Non-Crystalline Solids, 2019, a. 119720, , , , 2.8702, , , , , , , , , , 
17477, GJ10-393914, J. Non-Crystalline Solids, 2019, a. 119720, , , , 2.8134, , , , , , , , , , 
17478, GJ20-393921, J. Non-Crystalline Solids, 2019, a. 119726, annealed at 450C for 1h., , , 2.92, , , , , , , , , , 
17479, GJ20-393922, J. Non-Crystalline Solids, 2019, a. 119726, annealed at 450C for 1h., , , 3.05, , , , , , , , , , 
17480, GJ20-393923, J. Non-Crystalline Solids, 2019, a. 119726, annealed at 450C for 1h., , , 3.17, , , , , , , , , , 
17481, GJ03-393929, J. American Ceramic Soc., 2017, v. 100  p. 4570, annealed at Tg for 2h., , , , , , , , 6400.0, 6400.0, , , , 
17482, GJ03-393930, J. American Ceramic Soc., 2017, v. 100  p. 4570, annealed at Tg for 2h., , , , , , , , 6030.0, 6030.0, , , , 
17483, GJ03-393931, J. American Ceramic Soc., 2017, v. 100  p. 4570, annealed at Tg for 2h., , , , , , , , 5880.0, 5880.0, , , , 
17484, GJ03-393932, J. American Ceramic Soc., 2017, v. 100  p. 4570, annealed at Tg for 2h., , , , , , , , 5930.0, 5930.0, , , , 
17485, GJ03-393933, J. American Ceramic Soc., 2017, v. 100  p. 4570, annealed at Tg for 2h., , , , , , , , 6050.0, 6050.0, , , , 
17486, GJ03-393934, J. American Ceramic Soc., 2017, v. 100  p. 4570, annealed at Tg for 2h., , , , , , , , 6170.0, 6170.0, , , , 
17487, GJ03-393937, J. Asian Ceramic Soc., 2017, v. 100  p. 4680, , , , *, , , 93.0, , , , , , , 
17488, GJ20-393938, J. American Ceramic Soc., 2017, v. 100  p. 5075, , , , , , , 66.6, , 6000.0, , , , , 6000.0
17489, GJ50-393945, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 3.97, , , , , 1842.4, , 1842.4, , , 
17490, GJ50-393946, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 3.93, , , , , 1675.8, , 1675.8, , , 
17491, GJ50-393947, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 3.9, , , , , 1519.0, , 1519.0, , , 
17492, GJ50-393948, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 3.85, , , , , 1489.6, , 1489.6, , , 
17493, GJ50-393949, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 3.8, , , , , 1332.8, , 1332.8, , , 
17494, GJ50-393950, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 3.78, , , , , 1225.0, , 1225.0, , , 
17495, GJ50-393951, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 4.14, , , , , 1254.4, , 1254.4, , , 
17496, GJ50-393952, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 4.05, , , , , 1283.8, , 1283.8, , , 
17497, GJ50-393953, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 3.97, , , , , 1391.6, , 1391.6, , , 
17498, GJ50-393955, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 4.0, , , , , 1479.8, , 1479.8, , , 
17499, GJ50-393956, J. American Ceramic Soc., 2017, v. 100  p. 5107, annealed near Tg for 3h., , , 4.1, , , , , 1244.6, , 1244.6, , , 
17500, GJ10-393957, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.22, , , , , 5000.0, , , , , 5000.0
17501, GJ10-393958, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.33, , , , , 5000.0, , , , , 5000.0
17502, GJ10-393959, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.46, , , , , 4700.0, , , , , 4700.0
17503, GJ10-393960, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.58, , , , , 5450.0, , , , , 5450.0
17504, GJ10-393961, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.7, , , , , 5450.0, , , , , 5450.0
17505, GJ10-393962, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.2, , , , , 5500.0, , , , , 5500.0
17506, GJ10-393963, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.325, , , , , 5500.0, , , , , 5500.0
17507, GJ10-393964, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.45, , , , , 5200.0, , , , , 5200.0
17508, GJ10-393965, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.56, , , , , 5900.0, , , , , 5900.0
17509, GJ10-393966, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.69, , , , , 6700.0, , , , , 6700.0
17510, GJ02-393967, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.2, , , , , 5600.0, , , , , 5600.0
17511, GJ02-393968, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.31, , , , , 5300.0, , , , , 5300.0
17512, GJ05-393969, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.44, , , , , 5100.0, , , , , 5100.0
17513, GJ05-393970, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.44, , , , , 5950.0, , , , , 5950.0
17514, GJ10-393971, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.69, , , , , 7150.0, , , , , 7150.0
17515, GJ02-393972, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.19, , , , , 5900.0, , , , , 5900.0
17516, GJ02-393973, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.3, , , , , 5600.0, , , , , 5600.0
17517, GJ03-393974, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.43, , , , , 5300.0, , , , , 5300.0
17518, GJ03-393975, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.55, , , , , 6250.0, , , , , 6250.0
17519, GJ03-393976, J. American Ceramic Soc., 2017, v. 100  p. 5482, annealed for 1h., , , 2.67, , , , , 7250.0, , , , , 7250.0
17520, GJ08-393977, J. American Ceramic Soc., 2017, v. 100  p. 5490, annealed at 723K for 2h., , , 3.32, , , 75.62, , , , , , , 
17521, GJ08-393978, J. American Ceramic Soc., 2017, v. 100  p. 5490, annealed at 723K for 2h., , , 3.29, , , 70.68, , , , , , , 
17522, GJ08-393979, J. American Ceramic Soc., 2017, v. 100  p. 5490, annealed at 723K for 2h., , , 3.36, , , 73.46, , , , , , , 
17523, GJ06-393990, J. American Ceramic Soc., 2018, v. 101  p. 0140, annealed at 600C for 12h., , , 2.44, , , , , , , , , , 
17524, GJ06-394000, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.76, , , 90.0, , 6100.0, , , , , 6100.0
17525, GJ06-394001, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.76, , , 91.0, , 6100.0, , , , , 6100.0
17526, GJ06-394002, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.77, , , 92.0, , 6200.0, , , , , 6200.0
17527, GJ06-394003, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.77, , , 91.0, , 6300.0, , , , , 6300.0
17528, GJ06-394004, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.76, , , 89.0, , 6000.0, , , , , 6000.0
17529, GJ38-394005, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.81, , , 99.0, , 6800.0, , , , , 6800.0
17530, GJ38-394006, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.81, , , 100.0, , 7000.0, , , , , 7000.0
17531, GJ38-394007, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.8, , , 99.0, , 6800.0, , , , , 6800.0
17532, GJ38-394008, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.81, , , 99.0, , 6600.0, , , , , 6600.0
17533, GJ38-394009, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.82, , , 96.0, , 6600.0, , , , , 6600.0
17534, GJ38-394010, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.86, , , 108.0, , 7900.0, , , , , 7900.0
17535, GJ38-394011, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.85, , , 109.0, , 7700.0, , , , , 7700.0
17536, GJ38-394012, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.86, , , 107.0, , 7600.0, , , , , 7600.0
17537, GJ38-394013, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.86, , , 110.0, , 7400.0, , , , , 7400.0
17538, GJ38-394014, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.86, , , 105.0, , 7100.0, , , , , 7100.0
17539, GJ06-394015, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.01, , , 100.0, , 6600.0, , , , , 6600.0
17540, GJ06-394016, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.0, , , 102.0, , 6500.0, , , , , 6500.0
17541, GJ06-394017, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.0, , , 98.0, , 6500.0, , , , , 6500.0
17542, GJ06-394018, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.99, , , 97.0, , 6500.0, , , , , 6500.0
17543, GJ06-394019, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.99, , , 96.0, , 6400.0, , , , , 6400.0
17544, GJ38-394020, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.08, , , 109.0, , 7500.0, , , , , 7500.0
17545, GJ38-394021, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.06, , , 110.0, , 7400.0, , , , , 7400.0
17546, GJ38-394022, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.08, , , 110.0, , 7500.0, , , , , 7500.0
17547, GJ38-394023, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.07, , , 114.0, , 7500.0, , , , , 7500.0
17548, GJ38-394024, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.07, , , 109.0, , 7300.0, , , , , 7300.0
17549, GJ38-394025, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.12, , , 120.0, , 8400.0, , , , , 8400.0
17550, GJ38-394026, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.11, , , 120.0, , 8300.0, , , , , 8300.0
17551, GJ38-394027, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.12, , , 119.0, , 8400.0, , , , , 8400.0
17552, GJ38-394028, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.14, , , 119.0, , 8000.0, , , , , 8000.0
17553, GJ38-394029, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 3.13, , , 116.0, , 7500.0, , , , , 7500.0
17554, GJ03-394030, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.85, , , 103.0, , 6600.0, , , , , 6600.0
17555, GJ03-394031, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.84, , , 103.0, , 6600.0, , , , , 6600.0
17556, GJ03-394032, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.84, , , 103.0, , 6600.0, , , , , 6600.0
17557, GJ03-394033, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.84, , , 104.0, , 6500.0, , , , , 6500.0
17558, GJ38-394034, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.89, , , 110.0, , 7300.0, , , , , 7300.0
17559, GJ38-394035, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.88, , , 111.0, , 7200.0, , , , , 7200.0
17560, GJ38-394036, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.88, , , 109.0, , 7300.0, , , , , 7300.0
17561, GJ38-394037, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.88, , , 111.0, , 7200.0, , , , , 7200.0
17562, GJ38-394038, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.9, , , 115.0, , 7900.0, , , , , 7900.0
17563, GJ38-394039, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.9, , , 116.0, , 7900.0, , , , , 7900.0
17564, GJ38-394040, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.9, , , 115.0, , 7700.0, , , , , 7700.0
17565, GJ38-394041, J. American Ceramic Soc., 2018, v. 101  p. 0189, annealed at Tg for 1h., , , 2.9, , , 116.0, , 7800.0, , , , , 7800.0
17566, GJ02-394055, J. American Ceramic Soc., 2018, v. 101  p. 0231, annealed at 500C for 4h., , , 4.91, , , , , , , , , , 
17567, GJ20-394061, J. American Ceramic Soc., 2018, v. 101  p. 0602, annealed at 340C., , , 2.526, , , , , , , , , , 
17568, GJ20-394062, J. American Ceramic Soc., 2018, v. 101  p. 0602, annealed at 370C., , , 2.556, , , , , , , , , , 
17569, GJ20-394063, J. American Ceramic Soc., 2018, v. 101  p. 0602, annealed at 390C., , , 2.6, , , , , , , , , , 
17570, GJ20-394064, J. American Ceramic Soc., 2018, v. 101  p. 0602, annealed at 435C., , , 2.641, , , , , , , , , , 
17571, GJ03-394078, J. American Ceramic Soc., 2018, v. 101  p. 0657, annealed at Tg+50C for 1h., , , , , , , , 8000.0, , , , , 7000.0
17572, GJ02-394079, J. American Ceramic Soc., 2018, v. 101  p. 0657, annealed at Tg+50C for 1h., , , , , , , , 7300.0, , , , , 6800.0
17573, GJ06-394080, J. American Ceramic Soc., 2018, v. 101  p. 0657, annealed at Tg+50C for 1h., , , , , , , , 8000.0, , , , , 7000.0
17574, GJ50-394081, J. Australian Ceramic Soc., 2018, v. 101  p. 0666, annealed at 180C for 5h., , , 3.21, , , , , 1234.8, , , , , 1234.8
17575, GJ50-394082, J. Australian Ceramic Soc., 2018, v. 101  p. 0666, annealed at 180C for 5h., , , 3.215, , , , , 1228.92, , , , , 1228.92
17576, GJ50-394083, J. Australian Ceramic Soc., 2018, v. 101  p. 0666, annealed at 180C for 5h., , , 3.225, , , , , 1225.0, , , , , 1225.0
17577, GJ50-394084, J. Australian Ceramic Soc., 2018, v. 101  p. 0666, annealed at 180C for 5h., , , 3.32, , , , , 1246.56, , , , , 1246.56
17578, NJ98-394085, J. Australian Ceramic Soc., 2018, v. 101  p. 0666, annealed at 180C for 5h., , , 3.34, , , , , 1264.2, , , , , 1264.2
17579, GJ08-394091, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 2.72, , , , , , , , , , 
17580, GJ08-394092, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 3.07, , , , , , , , , , 
17581, GJ08-394093, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 3.88, , , , , , , , , , 
17582, GJ08-394094, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 4.18, , , , , , , , , , 
17583, GJ08-394095, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 4.37, , , , , , , , , , 
17584, GJ08-394096, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 4.15, , , , , , , , , , 
17585, GJ08-394097, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 4.52, , , , , , , , , , 
17586, GJ08-394098, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 4.23, , , , , , , , , , 
17587, GJ08-394099, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 4.4, , , , , , , , , , 
17588, GJ08-394100, J. American Ceramic Soc., 2018, v. 101  p. 1116, annealed at 500C for 6h., , , 4.42, , , , , , , , , , 
17589, GJ02-394101, J. American Ceramic Soc., 2018, v. 101  p. 1149, original: slow-cooled at 0.4K/h  this study: at first pressed then heated up to 700C and keeped for 24hr., , 2.4602, 2.494, , , , , , , , , , 
17590, GJ40-394182, J. American Ceramic Soc., 2018, v. 101  p. 1500, , , , 5.473, , , , , , , , , , 
17591, GJ40-394191, J. American Ceramic Soc., 2018, v. 101  p. 1500, , , , 4.956, , , , , , , , , , 
17592, GJ40-394192, J. American Ceramic Soc., 2018, v. 101  p. 1500, , , , 5.023, , , , , , , , , , 
17593, GJ40-394193, J. American Ceramic Soc., 2018, v. 101  p. 1500, , , , 5.119, , , , , , , , , , 
17594, GJ40-394194, J. American Ceramic Soc., 2018, v. 101  p. 1500, , , , 5.203, , , , , , , , , , 
17595, GJ40-394195, J. American Ceramic Soc., 2018, v. 101  p. 1500, , , , 5.276, , , , , , , , , , 
17596, GJ40-394196, J. American Ceramic Soc., 2018, v. 101  p. 1500, , , , 5.359, , , , , , , , , , 
17597, GJ40-394197, J. American Ceramic Soc., 2018, v. 101  p. 1500, , , , 5.42, , , , , , , , , , 
17598, GJ02-394215, J. Physical Chemistry B, 2019, v. 123  p. 1412, , , , 2.531, , , , , , , , , , 
17599, GJ02-394216, J. Physical Chemistry B, 2019, v. 123  p. 1412, , , , 2.575, , , , , , , , , , 
17600, GJ02-394217, J. Physical Chemistry B, 2019, v. 123  p. 1412, , , , 2.594, , , , , , , , , , 
17601, GJ02-394218, J. Physical Chemistry B, 2019, v. 123  p. 1412, , , , 2.633, , , , , , , , , , 
17602, GJ02-394219, J. Physical Chemistry B, 2019, v. 123  p. 1412, , , , 2.692, , , , , , , , , , 
17603, GJ02-394220, J. Physical Chemistry B, 2019, v. 123  p. 1412, , , , 2.724, , , , , , , , , , 
17604, GJ28-394230, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.62, , , 48.8, , , , , , , 
17605, GJ28-394231, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.61, , , , , , , , , , 
17606, GJ28-394232, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.6, , , , , , , , , , 
17607, GJ28-394233, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.59, , , 48.7, , , , , , , 
17608, GJ28-394234, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.58, , , 48.9, , , , , , , 
17609, GJ28-394235, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.56, , , 48.4, , , , , , , 
17610, GJ28-394236, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.54, , , 48.3, , , , , , , 
17611, GJ28-394237, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.53, , , 49.1, , , , , , , 
17612, GJ28-394238, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.51, , , 49.3, , , , , , , 
17613, GJ28-394239, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.48, , , 49.1, , , , , , , 
17614, GJ28-394240, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.44, , , , , , , , , , 
17615, GJ28-394241, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.41, , , , , , , , , , 
17616, GJ28-394242, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.56, , , , , , , , , , 
17617, GJ28-394244, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.47, , , , , , , , , , 
17618, GJ28-394246, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.36, , , , , , , , , , 
17619, GJ28-394247, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.33, , , 48.9, , , , , , , 
17620, GJ28-394248, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.26, , , 49.7, , , , , , , 
17621, GJ28-394249, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.15, , , 50.2, , , , , , , 
17622, GJ28-394250, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.09, , , 51.3, , , , , , , 
17623, GJ28-394251, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.02, , , 52.1, , , , , , , 
17624, GJ28-394252, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 4.91, , , , , , , , , , 
17625, GJ28-394253, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 4.87, , , , , , , , , , 
17626, GJ28-394254, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.47, , , 49.9, , , , , , , 
17627, GJ28-394255, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.41, , , 50.8, , , , , , , 
17628, GJ28-394256, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.32, , , 51.7, , , , , , , 
17629, GJ28-394257, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.2, , , 52.9, , , , , , , 
17630, GJ28-394258, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.43, , , 49.5, , , , , , , 
17631, GJ28-394259, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.4, , , 49.5, , , , , , , 
17632, GJ28-394260, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.35, , , 49.9, , , , , , , 
17633, GJ28-394261, J. Physical Chemistry B, 2019, v. 123  p. 7905, annealed at Tg-40C for 24h., , , 5.24, , , 53.1, , , , , , , 
17634, GJ20-394262, Int. J. Applied Glass Science, 2019, v. 010  p. 0069, annealed at Tg-20C for 12h., , , 3.1, , , , , , , , , , 
17635, GJ20-394263, Int. J. Applied Glass Science, 2019, v. 010  p. 0069, annealed at Tg-20C for 12h., , , 3.13, , , , , , , , , , 
17636, GJ20-394264, Int. J. Applied Glass Science, 2019, v. 010  p. 0069, annealed at Tg-20C for 12h., , , 2.96, , , , , , , , , , 
17637, GJ20-394268, Int. J. Applied Glass Science, 2019, v. 010  p. 0069, annealed at Tg-20C for 12h., , , 2.74, , , , , , , , , , 
17638, GJ20-394269, Int. J. Applied Glass Science, 2019, v. 010  p. 0069, annealed at Tg-20C for 12h., , , 2.63, , , , , , , , , , 
17639, GJ20-394270, Int. J. Applied Glass Science, 2019, v. 010  p. 0069, annealed at Tg-20C for 12h., , , 2.7, , , , , , , , , , 
17640, GJ05-394276, Int. J. Applied Glass Science, 2019, v. 010  p. 0151, annealed at Tg-40C for 10h., , , 2.41, , , , , , , , , , 
17641, GJ05-394277, Int. J. Applied Glass Science, 2019, v. 010  p. 0151, annealed at Tg-40C for 10h., , , 2.49, , , , , , , , , , 
17642, GJ05-394278, Int. J. Applied Glass Science, 2019, v. 010  p. 0151, annealed at Tg-40C for 10h., , , 2.5, , , , , , , , , , 
17643, GJ05-394279, Int. J. Applied Glass Science, 2019, v. 010  p. 0151, annealed at Tg-40C for 10h., , , 2.58, , , , , , , , , , 
