Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Rb2O, Ag2O, Cs2O, MnO, CoO, CuO, ZnO, SrO, PbO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Nd2O3, Gd2O3, Bi2O3, TiO2, MnO2, GeO2, ZrO2, CeO2, SnO2, TeO2, P2O5, Nb2O5, Ta2O5, HfO2, Nb2O3, SO3, WO3, H2O, Sm2O3, Eu2O3, Tb2O3, Er2O3, Yb2O3, Pr2O3, R2O, RO, R2O3, LiF, NaF, KF, MgF2, CaF2, SrF2, BaF2, ZnF2, AlF3, KHF2, BaCl2, Li, B, N, O, F, Na, Mg, Al, Si, P, Cl, K, Ca, Ti, V, Cr, Mn, Fe, Cu, Zn, As, Sr, Y, Sb, Ba, Ce, Nd, Er, Yb, Pt, Pb, Bi, Sr(PO3)2, Ca3(PO4)2, NaPO3, Zn(PO3)2, CaAl2Si2O8, AlN, SiC, Si3N4, Organic Compound, 2MgO-2Al2O3-5SiO2, Others, Fracture Toughness ( MPa.m1/2 )
1794, GP20-330133, Japanese Patent    Schott Corp. (US), 2012, A102002, 4.0, 5.0, 8.83, 15.09, , , 1.5, , , , , , , , , , , , , , , , 0.12, , , 3.19, 1.0, , , , , , , , , , 61.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.15
1795, GP20-330134, Japanese Patent    Schott Corp. (US), 2012, A102002, 5.0, 5.0, 9.83, 15.08, , , 1.5, , , , , , , , , 3.0, , , , , , , 0.12, , , , 1.2, , , , , , , , , , 59.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.0
1796, GP20-330135, Japanese Patent    Schott Corp. (US), 2012, A102002, 8.0, , 9.83, 15.08, , , 1.5, , , , , , , , , 5.0, , , , , , , 0.12, , , , 1.2, , , , , , , , , , 59.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.96
1797, GP20-330136, Japanese Patent    Schott Corp. (US), 2012, A102002, 3.0, 4.0, 9.83, 15.08, , , 1.5, , , , , , , , , 5.0, , , , , , , 0.12, , , 1.0, 1.2, , , , , , , , , , 59.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.87
1798, GP20-330137, Japanese Patent    Schott Corp. (US), 2012, A102002, , 7.0, 9.83, 15.08, , , 1.5, , , , , , , , , 5.0, , , , , , , 0.12, , , 1.0, 1.2, , , , , , , , , , 59.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.0
1799, GP03-330262, Japanese Patent    AGC (J), 2012, A111692, 67.67, 8.71, 11.41, 1.4, 5.21, 4.3, , , , , , , , , , , 1.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1800, GP03-330263, Japanese Patent    AGC (J), 2012, A111692, 67.53, 10.19, 10.19, 2.0, 5.39, 2.7, , , , , , , , , , , 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1801, GP03-330264, Japanese Patent    AGC (J), 2012, A111692, 68.13, 9.79, 10.39, , 6.79, 1.0, , , , , , , , , , , 3.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1802, GP03-330265, Japanese Patent    AGC (J), 2012, A111692, 66.2, 7.6, 11.3, 5.3, 4.7, , , , , , , , , , , , 4.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1803, GP03-330266, Japanese Patent    AGC (J), 2012, A111692, 67.33, 9.99, 11.09, 2.2, 8.79, , , , , , , , , , , , 0.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1804, GP03-330267, Japanese Patent    AGC (J), 2012, A111692, 67.2, 10.6, 10.6, 2.9, 6.7, 0.3, , , , , , , , , , , 1.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1805, GP03-330268, Japanese Patent    AGC (J), 2012, A111692, 67.5, 8.2, 8.8, 3.0, 5.0, 1.5, , , , , , , , , , , 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1806, GP03-330269, Japanese Patent    AGC (J), 2012, A111692, 68.0, 8.2, 7.8, 4.0, 5.0, 2.5, , , , , , , , , , , 4.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1807, GP06-330270, Japanese Patent    AGC (J), 2012, A111692, 63.0, 10.0, 15.0, 1.0, 2.0, 6.0, , , , , , , , , , , 3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1808, GP03-330271, Japanese Patent    AGC (J), 2012, A111692, 65.0, 12.0, 8.0, 6.0, 2.0, , , , , , , , , , , , 7.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1809, GP05-330272, Japanese Patent    AGC (J), 2012, A111692, 66.0, 15.0, 10.0, 1.0, 3.0, 1.0, , , , , , , , , , , 4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1810, GP03-330273, Japanese Patent    AGC (J), 2012, A111692, 68.0, 6.1, 9.4, 0.1, 7.0, 6.8, , , , , , , , , , , 2.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1811, GP03-330274, Japanese Patent    AGC (J), 2012, A111692, 68.0, 6.0, 6.0, 5.0, 5.0, 5.0, , , , , , , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1812, GP03-330275, Japanese Patent    AGC (J), 2012, A111692, 70.8, 1.3, 12.5, 5.0, 5.2, 3.7, , , , , , , , , , , 1.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1813, GP02-330389, Japanese Patent    Corning Inc. (US), 2010, AW021746, 66.15, 0.6, 10.29, 5.71, 0.58, , , 14.0, 2.45, , , , , , , , , , , , 0.008091, , , , , , , , , , , , 0.01, , 0.21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.7
1814, GP10-330719, Japanese Patent    AGC (J), 2010, AW041693, 45.0, 48.0, , , , , , , 6.4, , , , , , 0.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.95
1815, GP05-330720, Japanese Patent    AGC (J), 2010, AW041693, 45.8, 45.0, , , , , , , 6.8, , , , , , 0.4, 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.91
1816, GP10-330721, Japanese Patent    AGC (J), 2010, AW041693, 44.0, 46.0, , , , , , , 5.0, , , , , , 1.0, , , , , , , , , , , , , , , , , , 4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.1
1817, GP10-330722, Japanese Patent    AGC (J), 2010, AW041693, 41.76, 49.74, , , , , , , 5.0, , , , , , 0.5, , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.12
1818, GP05-330723, Japanese Patent    AGC (J), 2010, AW041693, 46.74, 44.76, , , , , , , 5.0, , , , , , 0.5, , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.12
1819, GP03-331233, Japanese Patent    AGC (J), 2011, AW136027, 67.67, 8.71, 11.41, 1.4, 5.21, 4.3, , , , , , , , , , , 1.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1820, GP03-331234, Japanese Patent    AGC (J), 2011, AW136027, 67.53, 10.19, 10.19, 2.0, 5.39, 2.7, , , , , , , , , , , 2.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1821, GP03-331235, Japanese Patent    AGC (J), 2011, AW136027, 68.13, 9.79, 10.39, , 6.79, 1.0, , , , , , , , , , , 3.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1822, GP03-331236, Japanese Patent    AGC (J), 2011, AW136027, 66.2, 7.6, 11.3, 5.3, 4.7, , , , , , , , , , , , 4.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1823, GP03-331237, Japanese Patent    AGC (J), 2011, AW136027, 67.33, 9.99, 11.09, 2.2, 8.79, , , , , , , , , , , , 0.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1824, GP03-331238, Japanese Patent    AGC (J), 2011, AW136027, 67.2, 10.6, 10.6, 2.9, 6.7, 0.3, , , , , , , , , , , 1.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1825, GP03-331239, Japanese Patent    AGC (J), 2011, AW136027, 67.5, 8.2, 8.8, 3.0, 5.0, 1.5, , , , , , , , , , , 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1826, GP03-331240, Japanese Patent    AGC (J), 2011, AW136027, 68.0, 8.2, 7.8, 4.0, 5.0, 2.5, , , , , , , , , , , 4.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1827, GP03-331241, Japanese Patent    AGC (J), 2011, AW136027, 63.0, 10.0, 15.0, 1.0, 2.0, 6.0, , , , , , , , , , , 3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1828, GP03-331242, Japanese Patent    AGC (J), 2011, AW136027, 65.0, 12.0, 8.0, 6.0, 2.0, , , , , , , , , , , , 7.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1829, GP05-331243, Japanese Patent    AGC (J), 2011, AW136027, 66.0, 15.0, 10.0, 1.0, 3.0, 1.0, , , , , , , , , , , 4.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1830, GP03-331244, Japanese Patent    AGC (J), 2011, AW136027, 68.0, 6.1, 9.4, 0.1, 7.0, 6.8, , , , , , , , , , , 2.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1831, GP03-331245, Japanese Patent    AGC (J), 2011, AW136027, 68.0, 6.0, 6.0, 5.0, 5.0, 5.0, , , , , , , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1832, GP03-331246, Japanese Patent    AGC (J), 2011, AW136027, 70.8, 1.3, 12.5, 5.0, 5.2, 3.7, , , , , , , , , , , 1.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.9
1833, GP02-340128, US Patent    Others, 2012, A0183812, 58.93, 1.71, 7.92, 6.82, 3.41, , 16.82, 1.35, 1.27, , , , , , , , , , , , , , , , , , , , , , , , 1.21, , , , , 0.56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.98
1834, GP02-340129, US Patent    Others, 2012, A0183812, 58.91, 1.89, 7.57, 6.82, 3.41, , 16.82, 1.54, 1.27, , , , , , , , , , , , , , , , , , , , , , , , 1.21, , , , , 0.56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.99
1835, GP02-340130, US Patent    Others, 2012, A0183812, 61.31, 2.62, 7.89, 6.65, , , 12.85, 1.77, 2.91, , , , , , , , 1.47, , , , , , , 0.62, , , , , , 1.91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.21
1836, GP02-340131, US Patent    Others, 2012, A0183812, 61.67, 2.65, 7.22, 6.7, , , 12.93, 1.88, 2.93, , , , , , , , 1.48, , , , , , , 0.62, , , , , , 1.92, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.1
1837, GP02-340132, US Patent    Others, 2012, A0183812, 69.77, , 6.17, 4.6, 4.95, , 8.88, 1.99, 2.1, , , , , , , , , , , , , , , , , , , , , , , , 1.25, , , , , , 0.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.09
1838, GP02-340133, US Patent    Others, 2012, A0183812, 69.73, , 6.17, 4.58, 4.94, , 8.86, 2.09, 2.09, , , , , , , , , , , , , , , , , , , , , , , , 1.25, , , , , , 0.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.25
1839, GP02-340134, US Patent    Others, 2012, A0183812, 69.65, , 6.16, 4.58, 4.94, , 8.86, 2.18, 2.09, , , , , , , , , , , , , , , , , , , , , , , , 1.25, , , , , , 0.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.15
1840, GP02-340135, US Patent    Others, 2012, A0183812, 64.39, 2.12, 6.2, , , , 17.27, 2.38, 4.56, , , , , , , 0.91, , , , , , , , 0.57, , , , , , 1.0, , , 0.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.08
1841, GP02-340136, US Patent    Others, 2012, A0183812, 65.28, , 7.88, , , , 17.51, 2.51, 4.62, , , , , , , , , , , , , , , 0.58, , , , , , 1.01, , , 0.61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.08
1842, GP02-340137, US Patent    Others, 2012, A0183812, 69.14, , 2.87, , 3.34, 0.88, 18.21, 2.55, 1.36, , , , , , , , , , , , , , , , , , , , , , , , 1.19, , , , , 0.46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.19
1843, GP02-340138, US Patent    Others, 2012, A0183812, 68.5, , 3.46, , 3.35, 0.88, 18.3, 2.46, 1.38, , , , , , , , , , , , , , , , , , , , , , , , 1.2, , , , , 0.47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.26
1844, GP02-340139, US Patent    Others, 2012, A0183812, 68.69, , 3.47, , 3.37, 0.88, 18.35, 2.67, 1.38, , , , , , , , , , , , , , , , , , , , , , , , 1.19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.2
1845, GP02-340140, US Patent    Others, 2012, A0183812, 65.36, 0.53, 7.64, , , , 17.39, 2.99, 1.44, , , , , , , , 2.03, , , , , , , 0.47, , , , , , 1.16, , , 0.5, , , , , 0.49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.25
1846, GP02-340141, US Patent    Others, 2012, A0183812, 64.92, , 7.62, , 3.73, , 16.9, 2.98, 1.44, , , , , , , , , , , , , , , 0.46, , , , , , 1.16, , , 0.5, , , , , , 0.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.27
1847, GP02-340142, US Patent    Others, 2012, A0183812, 64.97, , 7.56, , 3.74, , 16.52, 3.09, 1.44, , , , , , , , , , , , , , , 0.46, , , , , , 1.93, , , , , , , , , 0.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.19
1848, GP02-340143, US Patent    Others, 2012, A0183812, 64.1, 3.66, 7.67, 10.78, , , 7.68, 2.91, 1.45, , , , , , , , , , , , , , , , , , , , , , , , 1.26, , , , , 0.49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.34
1849, GP02-340144, US Patent    Others, 2012, A0183812, 64.25, 3.66, 7.7, 10.06, , , 7.71, 3.01, 1.45, , , , , , , , , , , , , , , , , , , , , 1.17, , , 0.5, , , , , 0.49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.21
1850, GP02-340145, US Patent    Others, 2012, A0183812, 66.57, , 7.84, 10.23, , , 8.5, 3.18, 1.48, , , , , , , , , , , , , , , , , , , , , 1.19, , , 0.51, , , , , 0.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.2
1851, GP02-340146, US Patent    Others, 2012, A0183812, 69.54, , 6.15, 3.81, 4.93, , 8.83, 2.08, 2.41, , , , , , , , , , , , , , , , , , , , , 1.92, , , , , , , , , , , , , , , , , , , 0.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.17
1852, GP02-340147, US Patent    Others, 2012, A0183812, 68.94, , 7.04, 3.83, 4.52, , 8.89, 2.09, 2.43, , , , , , , , , , , , , , , , , , , , , 1.93, , , , , , , , , , , , , , , , , , , 0.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.19
1853, GP02-340148, US Patent    Others, 2012, A0183812, 68.85, , 7.03, 3.83, 4.52, , 8.89, 2.19, 2.43, , , , , , , , , , , , , , , , , , , , , 1.93, , , , , , , , , , , , , , , , , , , 0.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.15
1854, GP25-340352, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 4.71, , , , , , , , , , , , , , , , , , , , , , 24.85, , , , , , , , , , , , , , , , , 25.15, 2.12, , 6.58, 6.52, 5.47, 5.45, 5.44, 13.71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.55
1855, GP25-340353, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 4.65, , , , , , , , , , , , , , , , , , , , , , 19.38, , , , , , , , , , , , , , , , , 25.19, 2.25, , 6.48, 6.5, 5.48, 5.44, 5.49, 19.14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.51
1856, GP25-340354, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 5.31, , , , , , , , , , , , , , , , , , , , , , 21.76, , , , , , , , , , , , , , , , , 22.15, 2.35, , 7.34, 7.35, 6.14, 6.15, 6.16, 15.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.53
1857, GP25-340355, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 5.31, , , , , , , , , , , , , , , , , , , , , , 21.71, , , , , , , , , , , , , , , , , 28.2, 2.46, , 2.49, 7.38, 6.1, 4.91, 6.16, 15.28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.51
1858, GP25-340356, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 5.23, , , , , , , , , , , , , , , , , , , , , , 21.81, , , , , , , , , , , , , , , , , 28.1, 2.48, , 7.38, 1.22, 6.14, 6.13, 6.12, 15.39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.52
1859, GP25-340357, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 5.28, , , , , , , , , , , , , , , , , , , , , , 21.39, , , , , , , , , , , , , , , , , 28.13, 2.39, , 7.41, 7.31, 0.6, 6.12, 6.09, 15.28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.52
1860, GP25-340358, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 5.3, , , , , , , , , , , , , , , , , , , , , , 21.41, , , , , , , , , , , , , , , , , 28.11, 2.51, , 7.28, 7.37, 6.06, 0.6, 6.11, 15.25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.55
1861, GP25-340359, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 5.23, , , , , , , , , , , , , , , , , , , , , , 21.44, , , , , , , , , , , , , , , , , 28.2, 2.43, , 7.38, 7.3, 6.09, 6.06, 0.58, 15.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.52
1862, GP25-340360, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 4.97, , , , , , , , , , , , , , , , , , , , , , 20.55, , , , , , , , , , , , , , , , , 27.88, 1.02, , 6.91, 6.95, 5.75, 5.79, 5.74, 14.44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.51
1863, GP25-340361, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 1.23, , , , , , , , , , , , , , , , , , , , , , 22.87, , , , , , , , , , , , , , , , , 23.29, 2.32, 3.67, 7.14, 7.06, 5.88, 5.88, 5.93, 14.73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.55
1864, GP25-340362, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 8.43, , , , , , , , , , , , , , , , , , , , , , 20.54, , , , , , , , , , , , , , , , , 26.51, 2.37, , 6.91, 6.9, 5.8, 2.27, 5.77, 14.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.53
1865, GP25-340363, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 5.08, , , , , , , , , , , , , , , , , , , , , , 22.83, , , , , , , , , , , , , , , , , 24.2, 2.35, , 6.05, 6.09, 6.07, 6.09, 6.07, 15.17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.53
1866, GP25-340364, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , 3.69, , , , , , , , 5.2, , , , , , , , , , , , , , , , , , , , , , 23.62, , , , , , , , , , , , , , , , , 17.76, 2.41, , 6.35, 6.26, 6.3, 6.3, 6.33, 15.78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.53
1867, GP25-340365, Japanese Patent    AGC (J), 2010, AW119964, , , , , , , , , , , , , , , 5.08, , , , , , , , , , , , , , , , , , , , , , 22.83, , , , , , , , , , , , , , , , , 24.2, 2.35, , 6.05, 6.09, 6.07, 6.09, 6.07, 15.17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.53
