Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Gd2O3, TiO2, ZrO2, CeO2, SnO2, TeO2, P2O5, V2O5, Nb2O5, Ta2O5, HfO2, SO3, WO3, GeS2, OH, Tb2O3, MgF2, CaF2, SrF2, AlF3, SrCl2, CdCl2, PbCl2, N, O, F, Al, Si, Cl, Co, Y, Sb, La, Pr, Nd, Tb, Dy, Ho, Er, Sr(PO3)2, Sb2S3, AlN, Density at RT ( g/cm3 ), Young's Modulus at RT ( GPa ), Vickers Hardness 100g ( MPa )
64, GI06-191676, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.51, , 15.29, , , , 16.3, 0.07, , , , , , , , , , , , , , 2.83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.46, 82.8, 5252.8
65, GI06-191678, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.74, , 15.28, 4.19, , , 14.73, 0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.41, 83.1, 5213.6
66, GI06-191679, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 64.32, , 15.56, , , , 15.16, 0.07, , , 4.89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.52, 83.1, 5007.8
67, GI06-191680, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.13, , 15.19, , , , 14.86, 0.06, , 4.76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.48, 83.1, 5125.4
68, GI06-191682, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.18, , 15.98, , , , 14.02, 0.1, , , , , , , , , , , , , , , , , , 4.72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.35, 73.3, 4615.8
69, GI06-191684, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 64.59, , 15.01, , , 5.2, 15.1, 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.59, 82.9, 5007.8
70, GI06-191686, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.32, , 15.24, , , , 7.3, 7.49, , , , , , , , , , , , , 4.65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.45, 78.8, 5047.0
71, GI06-191687R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.99, , 15.18, 3.84, , , 7.22, 7.77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.43, 81.9, 5194.0
72, GI06-191688R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.08, , 15.19, , , , 7.35, 7.81, , , 4.57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.55, 80.2, 5194.0
73, GI06-191689R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.84, , 14.52, , , , 7.2, 7.57, , 4.87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.48, 81.4, 5154.8
