SiO2 Na2O B2O3 CaO Al2O3 K2O Li2O MgO PbO BaO TiO2 GeO2 ZnO "Young's Modulus at RT ( GPa )" "Density at RT ( g/cm3 )" "Vickers Hardness 100g ( MPa )"
71.9 15.7 0.0 5.1 0.0 0.0 0.0 0.0 0 0.0 7.3 0 0.0 73.5 2.525 5570.0
71.53 16.28 0.0 2.5 0.0 0.0 0.0 0.0 0 0.0 9.69 0 0.0 73.6 2.535 5510.0
71.3 16.3 0.0 0.4 0.0 0.0 0.0 0.0 0 0.0 12.0 0 0.0 73.5 2.535 5480.0
45.0 0.0 0.0 55.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 89.0 2.843 6380.0
55.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 86.0 2.757 6130.0
75.0 12.5 0.0 12.5 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 77.9 2.5023 5290.0
65.0 17.5 0.0 17.5 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 80.0 2.613 6000.0
65.0 12.5 0.0 22.5 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 77.7 2.596 6040.0
65.0 22.5 0.0 12.5 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 75.4 2.565 5410.0
55.0 22.5 0.0 22.5 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 80.6 2.661 5920.0
55.0 17.5 0.0 27.5 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 85.0 2.683 5950.0
75.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 56.0 2.43 4400.0
62.5 25.0 12.5 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 73.0 2.49 6400.0
50.0 25.0 25.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 73.0 2.51 6600.0
37.5 25.0 37.5 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 75.0 2.47 5800.0
25.0 25.0 50.0 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 69.0 2.4 6200.0
12.5 25.0 62.5 0.0 0.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 62.0 2.33 5500.0
62.5 25.0 0.0 0.0 12.5 0.0 0.0 0.0 0 0.0 0.0 0 0.0 67.0 2.45 5600.0
50.0 25.0 12.5 0.0 12.5 0.0 0.0 0.0 0 0.0 0.0 0 0.0 69.0 2.45 6500.0
37.5 25.0 25.0 0.0 12.5 0.0 0.0 0.0 0 0.0 0.0 0 0.0 64.0 2.42 6100.0
25.0 25.0 37.5 0.0 12.5 0.0 0.0 0.0 0 0.0 0.0 0 0.0 56.0 2.35 5400.0
50.0 25.0 0.0 0.0 25.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 72.0 2.5 6600.0
37.5 25.0 12.5 0.0 25.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 62.0 2.42 6000.0
25.0 25.0 25.0 0.0 25.0 0.0 0.0 0.0 0 0.0 0.0 0 0.0 51.0 2.36 4900.0
